,代理IP地址,端口,匿名度,类型,get/post支持,位置,响应速度,最后验证时间
0,113.208.119.142,9002,高匿代理IP,HTTP,"GET, POST",北京市,10秒,2024/8/4 17:52:22
1,120.79.34.201,30001,高匿代理IP,HTTP,"GET, POST",广东省深圳市,1秒,2024/8/4 17:43:16
2,123.57.1.16,8029,高匿代理IP,HTTP,"GET, POST",北京市,2秒,2024/8/4 17:33:07
3,60.188.5.198,80,高匿代理IP,HTTP,"GET, POST",浙江省台州市黄岩区,3秒,2024/8/4 17:22:58
4,120.197.40.219,9002,高匿代理IP,HTTP,"GET, POST",广东省广州市,10秒,2024/8/4 17:12:50
5,183.230.162.122,9091,高匿代理IP,HTTP,"GET, POST",重庆市,9秒,2024/8/4 17:02:42
6,60.188.5.236,80,高匿代理IP,HTTP,"GET, POST",浙江省台州市黄岩区,4秒,2024/8/4 16:52:33
7,123.126.158.50,80,高匿代理IP,HTTP,"GET, POST",北京市,8秒,2024/8/4 16:42:24
8,101.132.25.152,50001,高匿代理IP,HTTP,"GET, POST",上海市,3秒,2024/8/4 16:33:17
9,111.20.217.178,9091,高匿代理IP,HTTP,"GET, POST",陕西省,9秒,2024/8/4 16:23:08
10,60.188.5.162,80,高匿代理IP,HTTP,"GET, POST",浙江省台州市黄岩区,5秒,2024/8/4 16:12:58
11,221.130.192.244,80,高匿代理IP,HTTP,"GET, POST",上海市,5秒,2024/8/4 16:02:50
12,117.139.124.182,9091,高匿代理IP,HTTP,"GET, POST",四川省,1秒,2024/8/4 15:52:42
13,122.9.183.228,8000,高匿代理IP,HTTP,"GET, POST",上海市,10秒,2024/8/4 15:42:34
14,182.106.220.252,9091,高匿代理IP,HTTP,"GET, POST",江西省南昌市,5秒,2024/8/4 15:32:25
